ticker,realized_vol_annual
COIN,0.861288876011929
APA,0.5108509207431013
CCL,0.5570148217156705
WBD,0.5661481918589207
HAL,0.41855914510822523
PCG,0.28922695877897314
VTRS,0.34588142476304456
DVN,0.43961959561888914
HOOD,0.7270736309718812
OXY,0.43871781425599177
SLB,0.385649145740294
BAX,0.3177184606277114
XYZ,0.6050995536921543
IVZ,0.36837223704192096
PYPL,0.42453012813345575
TRGP,0.34013840266711204
FI,0.3869176986039665
PSKY,0.5691578367546952
NCLH,0.5777920168190034
MRNA,0.6790367445043746
